"Reynolds";"Amplitude";"Temps";"Premiere_cesure";"nb_cesures";"volume";"surface";"ratio_vs";"satellite";"long_onde";"poly4";"poly3";"poly2";"poly1";"poly0"
103;0,05;347;116,475;21;1056,25329031149;1188,31047966911;1,12502416851045;1;6,875;-2,25157319316735e-09;1,05292959186336e-06;-0,000174423531932281;0,0138250073878778;1,17072933898758
103;0,05;347,5;116,882;21;1058,05148154915;1189,32647319467;1,1240724047315;1;6,875;-2,14153979980459e-09;1,00072550209564e-06;-0,000166178789996158;0,0133382689446294;1,17880749408939
103;0,05;348;117,264;21;1061,04916023377;1192,81489168596;1,12418437937708;1;6,812;-2,0328815026988e-09;9,48760754053806e-07;-0,000157887354773294;0,0128415888039705;1,18731503731032
103;0,05;348,5;117,643;21;1062,47685099094;1193,07244346872;1,12291617681456;1;6,875;-1,92718350614518e-09;8,97720477632195e-07;-0,000149634838743748;0,0123368089736999;1,19635679690128
103;0,05;349;118,042;20;1064,46695784683;1193,89960784362;1,12159386352264;1;6,875;-1,82157512115764e-09;8,46539199186085e-07;-0,000141331040194147;0,0118279119631657;1,20539194950626
103;0,05;349,5;118,456;20;1062,722065605;1192,23418054089;1,12186828440619;1;6,875;-1,70942802693988e-09;7,92049769390299e-07;-0,00013246208308431;0,0112810038892868;1,21526590691022
103;0,05;350;118,877;20;1059,15391675999;1189,80494046786;1,1233541430008;1;6,876;-1,5993429677428e-09;7,3801385417868e-07;-0,000123552722463845;0,0107225422522152;1,22553618621235
104;0,01;344;238;0;817,340925309835;1480,30816368949;1,81112693351105;0;5,875;-7,08367543153485e-10;3,57159228588667e-07;-5,89251235849376e-05;0,00497027182750499;1,0095903513804
104;0,01;344,5;238;0;816,346394770004;1479,40631183072;1,81222863395817;0;5,375;-1,46073148066633e-09;6,70712296685118e-07;-9,98319845638963e-05;0,00672769766610495;0,995035615572949
104;0,01;345;238;0;816,900774494234;1479,26587655517;1,81082687486865;0;6,81299999999999;-1,83787156708589e-10;1,38560281991205e-07;-3,04206394199944e-05;0,00374737531544286;1,01966465576536
104;0,01;345,5;238;0;818,287040544746;1480,07272179948;1,8087451572179;0;6,81200000000001;-1,79122599423545e-10;1,36307887922661e-07;-3,00622879175524e-05;0,00372600036126147;1,02002571013182
104;0,01;346;238;0;820,177079035793;1481,61347724106;1,80645559978688;0;6,75099999999998;-1,73477645731552e-10;1,33577732562915e-07;-2,96244519087949e-05;0,00369979232453864;1,02047982896594
104;0,01;346,5;238;0;821,972279619333;1483,47075759894;1,80476981326664;0;6,75;-1,68524816001801e-10;1,31141901117067e-07;-2,92250417111273e-05;0,00367488216163926;1,02093438278454
104;0,01;347;238;0;823,889567244067;1485,24458091483;1,80272288904327;0;6,81200000000001;-1,64537127797501e-10;1,29183140393723e-07;-2,89068529305442e-05;0,00365559139742288;1,02125248965409
104;0,01;347,5;238;0;825,570741730326;1486,66777635931;1,80077575574369;0;6,81299999999999;-1,58942970976481e-10;1,2638959858098e-07;-2,84472220376065e-05;0,00362754343253839;1,02172757573642
104;0,01;348;238;0;826,965000913329;1487,32726295599;1,79853713435675;0;6,81200000000001;-1,53863521696554e-10;1,23871711037067e-07;-2,8034775193337e-05;0,00360206213682217;1,02218778416271
104;0,01;348,5;238;0;827,35917369434;1487,19481165779;1,79752018100814;0;6,75;-1,48222292089075e-10;1,21183429733467e-07;-2,76147434735268e-05;0,00357778842101516;1,02258743554347
104;0,01;349;238;0;826,667992277492;1486,33115667847;1,79797835474867;0;6,75;-1,43405750033006e-10;1,18719622835843e-07;-2,71931679838345e-05;0,00355038935356612;1,02310930738907
104;0,01;349,5;238;0;824,597677960948;1484,95925803021;1,8008288135157;0;6,81299999999999;-1,38973958240348e-10;1,16439959120722e-07;-2,67999832342718e-05;0,00352416072769739;1,02364188745751
104;0,01;350;238;0;821,858508697288;1483,30255887617;1,80481499330988;0;6,81200000000001;-1,39222067974956e-10;1,16172934356429e-07;-2,66842861158711e-05;0,00351157585224963;1,02399584382741
104;0,02;344;172,815;20;961,281090093071;1308,95056675487;1,36167306342012;1;6,81299999999999;-4,34208227066475e-09;1,96457331260854e-06;-0,000278992137909527;0,0162241205212844;0,969017576504395
104;0,02;344,5;173,288;20;961,351547887263;1307,81733268779;1,36039447334531;1;6,81299999999999;-2,96741575548418e-09;1,39469523545329e-06;-0,000205309654159211;0,0131185592712485;0,992915532270087
104;0,02;345;173,764;19;963,921179233851;1309,60850121505;1,35862612984182;1;6,875;-2,99561429729685e-09;1,40820819438684e-06;-0,00020746617928062;0,0132463918829815;0,990835797113046
104;0,02;345,5;174,24;19;966,404695179606;1311,75513537188;1,35735592129764;1;6,875;-3,01838783144669e-09;1,41883311484998e-06;-0,000209103747757363;0,0133389405132805;0,989452422078771
104;0,02;346;174,716;19;968,594086284761;1313,95938149645;1,35656349765299;1;6,875;-3,04443800957373e-09;1,43154670576789e-06;-0,000211178229052739;0,0134656793951977;0,987278589010806
104;0,02;346,5;175,193;19;970,98854702107;1316,21052166672;1,35553660823783;1;6,875;-3,06662210256195e-09;1,44246867768784e-06;-0,00021297564438516;0,0135765051289748;0,985333681983219
104;0,02;347;175,67;19;973,366381703253;1318,28950537069;1,3543610403555;1;6,81200000000001;-3,08854734285464e-09;1,45321158247272e-06;-0,000214735684805398;0,0136851267746608;0,983392802649186
104;0,02;347,5;172,073;19;975,706183291583;1320,12378816015;1,35299315589726;1;6,875;-3,11293352614285e-09;1,46549004486571e-06;-0,000216812736487836;0,0138180986903224;0,98090113032119
104;0,02;348;172,502;19;978,032154389095;1322,14589677161;1,35184297452619;1;6,81299999999999;-3,13295566874077e-09;1,47536219396018e-06;-0,000218455599632854;0,0139226450680856;0,978945284007973
104;0,02;348,5;172,937;19;979,304201274365;1321,84530725819;1,34978008420476;1;6,81200000000001;-3,15681068205284e-09;1,48746539752417e-06;-0,000220528320190224;0,0140574682238577;0,976419782617116
104;0,02;349;173,366;19;977,944056780354;1319,95502738239;1,34972447373731;1;6,81200000000001;-3,17245459863176e-09;1,49549069662614e-06;-0,000221899110180449;0,0141444267607115;0,97492099111224
104;0,02;349,5;171,423;20;974,089360760214;1317,30108097004;1,35234110343015;1;6,81200000000001;-3,19265891673795e-09;1,50605533881707e-06;-0,00022375877964914;0,0142689385654071;0,972475436776424
104;0,02;350;171,887;20;968,678670385448;1314,10804746486;1,35659851676301;1;6,81200000000001;-3,22415405658124e-09;1,52153853348521e-06;-0,000226313976927162;0,0144288411345463;0,969527268370428
104;0,03;344;138,588;22;1015,92061386054;1246,08899424684;1,22656138407473;1;6,81200000000001;-3,08535802164797e-09;1,3018745624909e-06;-0,000182150868921758;0,0128676272624436;1,05297333847212
104;0,03;344,5;139,065;22;1014,81570825129;1244,52257013632;1,22635327776002;1;6,875;-2,96067061026314e-09;1,24903582977679e-06;-0,000175030784324482;0,0125392450927888;1,05641848857911
104;0,03;345;139,544;21;1016,66780635921;1244,74281793111;1,22433582547347;1;6,875;-2,88740111875725e-09;1,21733999871211e-06;-0,000170613078806951;0,0123225266586212;1,05904155213793
104;0,03;345,5;140,022;21;1019,0905693441;1246,9664314248;1,22360707569629;1;6,875;-2,81289590762322e-09;1,18467530678983e-06;-0,000165970631661026;0,0120872713266363;1,06205468211116
104;0,03;346;136,384;22;1021,36987417931;1249,08751125289;1,22295315617817;1;6,87500000000001;-2,73760141425117e-09;1,15173143919953e-06;-0,00016131120411936;0,0118538213496382;1,06495376009535
104;0,03;346,5;136,817;22;1023,74396649036;1251,27033096529;1,22224928490172;1;6,87500000000001;-2,6656117983131e-09;1,11979003273319e-06;-0,000156703995510381;0,0116159066392522;1,06813938644114
104;0,03;347;137,244;22;1025,96718994155;1253,52588632174;1,22179919456601;1;6,87500000000001;-2,58334700747592e-09;1,08324535628452e-06;-0,000151434859570571;0,0113435188739509;1,07181395697303
104;0,03;347,5;137,659;22;1028,21861403294;1255,67244251852;1,22121154526997;1;6,813;-2,50856153453883e-09;1,05004950777963e-06;-0,00014663378263512;0,0110923182830697;1,07537326784771
104;0,03;348;138,077;22;1030,57068002835;1257,81023168672;1,22049875477936;1;6,875;-2,42973495953388e-09;1,01443847185731e-06;-0,000141367391149091;0,0108084505513682;1,07955776827087
104;0,03;348,5;136,256;23;1031,71041543706;1257,40754112989;1,21876015044127;1;6,875;-2,34922181330718e-09;9,77945116618212e-07;-0,000135945706295035;0,0105141098340033;1,08392242120968
104;0,03;349;136,705;23;1030,56620871606;1255,63834304502;1,21839657891497;1;6,875;-2,26632092375708e-09;9,39954172869311e-07;-0,000130219578711983;0,0101974109621385;1,08874653308602
104;0,03;349,5;137,17;23;1027,16991638686;1253,30083650872;1,22014947723283;1;6,875;-2,18948683752037e-09;9,04437451617533e-07;-0,000124804198616944;0,00989321070672257;1,09345268938763
104;0,03;350;137,643;23;1023,0546184733;1250,47023378044;1,22229078604476;1;6,875;-2,11154340979143e-09;8,68409162825555e-07;-0,000119322340845656;0,00958532312513332;1,09832864815331
104;0,04;344;124,87;22;1039,2601824529;1206,23415795883;1,16066619151311;1;6,875;-2,17497559798252e-09;9,71833982611987e-07;-0,000155439568554784;0,0130420671532808;1,10323239158876
104;0,04;344,5;125,347;22;1037,20750088318;1204,47406301901;1,1612662480684;1;6,875;-2,14718989736642e-09;9,57423484995409e-07;-0,00015290443847558;0,0128721792625308;1,10644307405672
104;0,04;345;125,826;22;1038,44654063784;1204,13227163628;1,15955152674173;1;6,812;-2,05750197209198e-09;9,16247362064775e-07;-0,000146675335611459;0,0125257817935321;1,1116921668044
104;0,04;345,5;122,135;22;1039,8581766516;1204,56610074583;1,15839460398783;1;6,874;-1,97340266184638e-09;8,77388837973441e-07;-0,000140747225508457;0,012193395533361;1,1167605343795
104;0,04;346;122,545;22;1042,76653381028;1207,51669425429;1,15799333321717;1;6,876;-1,88278522367619e-09;8,35532629961984e-07;-0,000134356859365396;0,0118332884397846;1,12235664300894
